1.77735029e+20  -4.89981217e+13 7.12454317e-07  
1.79586435e+20  -4.76844819e+13 7.06662060e-07  
1.81437842e+20  -4.63813241e+13 7.01129274e-07  
1.83289248e+20  -4.50881777e+13 6.95845314e-07  
1.85140655e+20  -4.38045916e+13 6.90800058e-07  
1.86992061e+20  -4.25301328e+13 6.85983885e-07  
1.88843468e+20  -4.12643858e+13 6.81387639e-07  
1.90694874e+20  -4.00069514e+13 6.77002606e-07  
1.92546281e+20  -3.87574464e+13 6.72820487e-07  
1.94397688e+20  -3.75155025e+13 6.68833375e-07  
1.96249094e+20  -3.62807657e+13 6.65033731e-07  
1.98100501e+20  -3.50528957e+13 6.61414368e-07  
1.99951907e+20  -3.38315649e+13 6.57968427e-07  
2.01803314e+20  -3.26164586e+13 6.54689361e-07  
2.03654720e+20  -3.14072735e+13 6.51570917e-07  
2.05506127e+20  -3.02037178e+13 6.48607122e-07  
2.07357533e+20  -2.90055106e+13 6.45792268e-07  
2.09208940e+20  -2.78123812e+13 6.43120895e-07  
2.11060347e+20  -2.66240688e+13 6.40587782e-07  
2.12911753e+20  -2.54403221e+13 6.38187931e-07  
2.14763160e+20  -2.42608989e+13 6.35916558e-07  
2.16614566e+20  -2.30855655e+13 6.33769082e-07  
2.18465973e+20  -2.19140966e+13 6.31741112e-07  
2.20317379e+20  -2.07462750e+13 6.29828443e-07  
2.22168786e+20  -1.95818909e+13 6.28027040e-07  
2.24020192e+20  -1.84207419e+13 6.26333035e-07  
2.25871599e+20  -1.72626327e+13 6.24742715e-07  
2.27723005e+20  -1.61073746e+13 6.23252518e-07  
2.29574412e+20  -1.49547854e+13 6.21859023e-07  
2.31425819e+20  -1.38046892e+13 6.20558943e-07  
2.33277225e+20  -1.26569159e+13 6.19349123e-07  
2.35128632e+20  -1.15113013e+13 6.18226527e-07  
2.36980038e+20  -1.03676866e+13 6.17188240e-07  
2.38831445e+20  -9.22591826e+12 6.16231455e-07  
2.40682851e+20  -8.08584799e+12 6.15353474e-07  
2.42534258e+20  -6.94733228e+12 6.14551699e-07  
2.44385664e+20  -5.81023238e+12 6.13823631e-07  
2.46237071e+20  -4.67441407e+12 6.13166862e-07  
2.48088477e+20  -3.53974751e+12 6.12579073e-07  
2.49939884e+20  -2.40610704e+12 6.12058030e-07  
2.51791291e+20  -1.27337111e+12 6.11601580e-07  
2.53642697e+20  -1.41422064e+11 6.11207647e-07  
2.55494104e+20  9.89853972e+11  6.10874231e-07  
2.57345510e+20  2.12056724e+12  6.10599399e-07  
2.59196917e+20  3.25082447e+12  6.10381290e-07  
2.61048323e+20  4.38072901e+12  6.10218105e-07  
2.62899730e+20  5.51038092e+12  6.10108110e-07  
2.64751136e+20  6.63987712e+12  6.10049629e-07  
2.66602543e+20  7.76931149e+12  6.10041044e-07  
2.68453950e+20  8.89877495e+12  6.10080791e-07  
2.70305356e+20  1.00283556e+13  6.10167359e-07  
2.72156763e+20  1.11581387e+13  6.10299288e-07  
2.74008169e+20  1.22882069e+13  6.10475167e-07  
2.75859576e+20  1.34186404e+13  6.10693630e-07  
2.77710982e+20  1.45495168e+13  6.10953357e-07  
2.79562389e+20  1.56809112e+13  6.11253071e-07  
2.81413795e+20  1.68128966e+13  6.11591536e-07  
2.83265202e+20  1.79455435e+13  6.11967554e-07  
2.85116608e+20  1.90789205e+13  6.12379968e-07  
2.86968015e+20  2.02130939e+13  6.12827655e-07  
2.88819422e+20  2.13481279e+13  6.13309531e-07  
2.90670828e+20  2.24840849e+13  6.13824542e-07  
2.92522235e+20  2.36210253e+13  6.14371668e-07  
2.94373641e+20  2.47590076e+13  6.14949922e-07  
2.96225048e+20  2.58980886e+13  6.15558346e-07  
2.98076454e+20  2.70383232e+13  6.16196010e-07  
2.99927861e+20  2.81797647e+13  6.16862014e-07  
3.01779267e+20  2.93224649e+13  6.17555485e-07  
3.03630674e+20  3.04664737e+13  6.18275575e-07  
3.05482080e+20  3.16118397e+13  6.19021462e-07  
3.07333487e+20  3.27586099e+13  6.19792348e-07  
3.09184894e+20  3.39068299e+13  6.20587459e-07  
3.11036300e+20  3.50565438e+13  6.21406042e-07  
3.12887707e+20  3.62077944e+13  6.22247367e-07  
3.14739113e+20  3.73606231e+13  6.23110726e-07  
3.16590520e+20  3.85150701e+13  6.23995429e-07  
3.18441926e+20  3.96711743e+13  6.24900808e-07  
3.20293333e+20  4.08289734e+13  6.25826211e-07  
3.22144739e+20  4.19885038e+13  6.26771007e-07  
3.23996146e+20  4.31498009e+13  6.27734583e-07  
3.25847553e+20  4.43128989e+13  6.28716340e-07  
3.27698959e+20  4.54778309e+13  6.29715699e-07  
3.29550366e+20  4.66446290e+13  6.30732095e-07  
3.31401772e+20  4.78133241e+13  6.31764978e-07  
3.33253179e+20  4.89839465e+13  6.32813814e-07  
3.35104585e+20  5.01565250e+13  6.33878084e-07  
3.36955992e+20  5.13310878e+13  6.34957282e-07  
3.38807398e+20  5.25076620e+13  6.36050915e-07  
